User, Action, Channel Name, UNIX Time, ISO8601 Local Time
jazzy#0143,join,Gamer 3,1642106967.113594,2022-01-13T20:49:27.113633
tomlins212#4429,join,Gamer 3,1642108267.5369973,2022-01-13T21:11:07.537043
tomlins212#4429,leave,Gamer 3,1642108463.8302703,2022-01-13T21:14:23.830300
tomlins212#4429,join,Gamer 3,1642109414.361733,2022-01-13T21:30:14.361771
AllRickyBobby#5706,join,Gamer 3,1642111663.5950115,2022-01-13T22:07:43.595058
AllRickyBobby#5706,leave,Gamer 3,1642111664.4638846,2022-01-13T22:07:44.463932
Tangent#0184,leave,Gamer 3,1642114025.5426512,2022-01-13T22:47:05.542698
Good Nut#6488,join,Gamer 3,1642115427.0843456,2022-01-13T23:10:27.084386
Liam Straub#3257,leave,Gamer 3,1642115451.6895308,2022-01-13T23:10:51.689578
Liam Straub#3257,join,Gamer 3,1642115455.116853,2022-01-13T23:10:55.116896
Good Nut#6488,leave,Gamer 3,1642118025.3005595,2022-01-13T23:53:45.300618
Tangent#0184,join,Gamer 3,1642119570.399759,2022-01-14T00:19:30.399800
tomlins212#4429,leave,Gamer 3,1642120221.1551154,2022-01-14T00:30:21.155162
tomlins212#4429,join,Gamer 3,1642121448.4927008,2022-01-14T00:50:48.492747
Tangent#0184,leave,Gamer 3,1642122395.202119,2022-01-14T01:06:35.202159
Tangent#0184,join,The Poop(ing) Deck,1642122395.202251,2022-01-14T01:06:35.202269
Tangent#0184,leave,The Poop(ing) Deck,1642122396.7369428,2022-01-14T01:06:36.736984
Tangent#0184,join,Gamer 3,1642122396.737077,2022-01-14T01:06:36.737095
Iron Horse#7419,join,General,1642124212.3130352,2022-01-14T01:36:52.313082
Annabelle B#6621,join,General,1642124861.8129487,2022-01-14T01:47:41.812998
Annabelle B#6621,leave,General,1642124867.982425,2022-01-14T01:47:47.982472
Annabelle B#6621,join,General,1642124869.757151,2022-01-14T01:47:49.757185
Annabelle B#6621,leave,General,1642124875.2069538,2022-01-14T01:47:55.206997
Annabelle B#6621,join,General,1642124882.9887788,2022-01-14T01:48:02.988824
Annabelle B#6621,leave,General,1642124970.6551783,2022-01-14T01:49:30.655225
Annabelle B#6621,join,General,1642124989.9508657,2022-01-14T01:49:49.950907
JOSH CARLSON#6495,join,General,1642126759.481248,2022-01-14T02:19:19.481292
Good Nut#6488,join,Gamer 3,1642128000.7327864,2022-01-14T02:40:00.732816
Peter#9962,join,General,1642128149.0144048,2022-01-14T02:42:29.014449
Daniel the maniel#7678,join,General,1642128877.6909642,2022-01-14T02:54:37.691005
tomlins212#4429,leave,Gamer 3,1642129093.9307654,2022-01-14T02:58:13.930819
Daniel the maniel#7678,leave,General,1642129359.0670667,2022-01-14T03:02:39.067113
Liam Straub#3257,leave,Gamer 3,1642129553.8497982,2022-01-14T03:05:53.849828
Daniel the maniel#7678,join,General,1642130181.792449,2022-01-14T03:16:21.792477
Daniel the maniel#7678,leave,General,1642130258.0748763,2022-01-14T03:17:38.074924
Darkand#0021,join,General,1642131066.9789302,2022-01-14T03:31:06.978972
Liam Straub#3257,join,Gamer 3,1642131305.7487705,2022-01-14T03:35:05.748815
Iron Horse#7419,leave,General,1642131343.5004246,2022-01-14T03:35:43.500468
Iron Horse#7419,join,General,1642131345.8003454,2022-01-14T03:35:45.800384
Good Nut#6488,leave,Gamer 3,1642132571.8535101,2022-01-14T03:56:11.853547
JOSH CARLSON#6495,leave,General,1642133465.8396885,2022-01-14T04:11:05.839738
JOSH CARLSON#6495,join,General,1642133604.8669977,2022-01-14T04:13:24.867043
Tangent#0184,leave,Gamer 3,1642134280.1968195,2022-01-14T04:24:40.196861
Tangent#0184,join,General,1642134280.1969554,2022-01-14T04:24:40.196974
Tangent#0184,leave,General,1642134282.2288005,2022-01-14T04:24:42.228842
Tangent#0184,join,Gamer 3,1642134282.2289357,2022-01-14T04:24:42.228954
Darkand#0021,leave,General,1642134537.6195827,2022-01-14T04:28:57.619631
chipcrimple#4895,join,General,1642134677.2337089,2022-01-14T04:31:17.233753
chipcrimple#4895,leave,General,1642134751.570129,2022-01-14T04:32:31.570169
Iron Horse#7419,leave,General,1642136085.2135053,2022-01-14T04:54:45.213551
Iron Horse#7419,join,General,1642136088.4445128,2022-01-14T04:54:48.444541
Liam Straub#3257,leave,Gamer 3,1642137854.1844456,2022-01-14T05:24:14.184487
jazzy#0143,leave,Gamer 3,1642137858.674116,2022-01-14T05:24:18.674158
Tangent#0184,leave,Gamer 3,1642137863.4730022,2022-01-14T05:24:23.473046
Tangent#0184,join,General,1642137863.4731398,2022-01-14T05:24:23.473158
Iron Horse#7419,leave,General,1642138110.7482681,2022-01-14T05:28:30.748308
Peter#9962,leave,General,1642138322.959693,2022-01-14T05:32:02.959737
Annabelle B#6621,leave,General,1642138323.6199281,2022-01-14T05:32:03.619966
Tangent#0184,leave,General,1642141665.2084298,2022-01-14T06:27:45.208469
Tangent#0184,join,Study Bar 4,1642141665.208555,2022-01-14T06:27:45.208571
Tangent#0184,leave,Study Bar 4,1642141667.298533,2022-01-14T06:27:47.298576
Tangent#0184,join,General,1642141667.298676,2022-01-14T06:27:47.298693
Tangent#0184,leave,General,1642141888.2650998,2022-01-14T06:31:28.265146
JOSH CARLSON#6495,leave,General,1642142625.315008,2022-01-14T06:43:45.315055
donwersa#8598,join,General,1642183061.7364285,2022-01-14T17:57:41.736476
donwersa#8598,leave,General,1642183065.3894777,2022-01-14T17:57:45.389525
donwersa#8598,join,Gamer 3,1642183065.3896284,2022-01-14T17:57:45.389649
0wen#3644,join,Gamer 3,1642183424.8885658,2022-01-14T18:03:44.888610
Luke L#0751,join,Gamer 3,1642183995.0201528,2022-01-14T18:13:15.020194
peterbraun#9809,join,Gamer 3,1642184957.830638,2022-01-14T18:29:17.830681
Liam Straub#3257,join,General,1642186805.3020554,2022-01-14T19:00:05.302097
Liam Straub#3257,leave,General,1642186807.51197,2022-01-14T19:00:07.512013
Liam Straub#3257,join,Gamer 3,1642186807.5121145,2022-01-14T19:00:07.512137
peterbraun#9809,leave,Gamer 3,1642187102.5796957,2022-01-14T19:05:02.579743
Luke L#0751,leave,Gamer 3,1642188006.5028894,2022-01-14T19:20:06.502935
0wen#3644,leave,Gamer 3,1642188249.152214,2022-01-14T19:24:09.152248
donwersa#8598,leave,Gamer 3,1642190430.1367278,2022-01-14T20:00:30.136810
donwersa#8598,join,Gamer 3,1642194176.7588222,2022-01-14T21:02:56.758862
Tangent#0184,join,General,1642194508.136608,2022-01-14T21:08:28.136650
Tangent#0184,leave,General,1642194509.112406,2022-01-14T21:08:29.112453
Tangent#0184,join,Gamer 3,1642194509.1125586,2022-01-14T21:08:29.112581
donwersa#8598,leave,Gamer 3,1642194921.6752355,2022-01-14T21:15:21.675279
Liam Straub#3257,leave,Gamer 3,1642197266.9364457,2022-01-14T21:54:26.936493
Tangent#0184,leave,Gamer 3,1642197319.397833,2022-01-14T21:55:19.397862
Tangent#0184,join,General,1642200494.5115693,2022-01-14T22:48:14.511609
0wen#3644,join,General,1642202702.3864698,2022-01-14T23:25:02.386515
A Good Mustache#2703,join,General,1642202727.5396006,2022-01-14T23:25:27.539647
A Good Mustache#2703,leave,General,1642203069.3339434,2022-01-14T23:31:09.333993
Tangent#0184,leave,General,1642203261.8730094,2022-01-14T23:34:21.873058
0wen#3644,leave,General,1642203264.538361,2022-01-14T23:34:24.538407
jazzy#0143,join,General,1642205093.7495058,2022-01-15T00:04:53.749550
jazzy#0143,leave,General,1642205462.7396631,2022-01-15T00:11:02.739717
Tangent#0184,join,General,1642206965.8722947,2022-01-15T00:36:05.872328
Tangent#0184,leave,General,1642207011.3751693,2022-01-15T00:36:51.375212
Liam Straub#3257,join,Codimg Zoney,1642208959.0930603,2022-01-15T01:09:19.093106
Liam Straub#3257,leave,Codimg Zoney,1642208960.6102953,2022-01-15T01:09:20.610345
Liam Straub#3257,join,Gamer 3,1642208960.6104531,2022-01-15T01:09:20.610474
jazzy#0143,join,Gamer 3,1642209162.3485584,2022-01-15T01:12:42.348604
Iron Horse#7419,join,The Poop(ing) Deck,1642209619.5649383,2022-01-15T01:20:19.564986
ClockworkGold#8535,join,The Poop(ing) Deck,1642210043.4412174,2022-01-15T01:27:23.441264
ClockworkGold#8535,leave,The Poop(ing) Deck,1642210326.4709554,2022-01-15T01:32:06.470996
ClockworkGold#8535,join,The Poop(ing) Deck,1642210389.4268525,2022-01-15T01:33:09.426893
ClockworkGold#8535,leave,The Poop(ing) Deck,1642210408.5732975,2022-01-15T01:33:28.573345
ClockworkGold#8535,join,The Poop(ing) Deck,1642210409.8867638,2022-01-15T01:33:29.886811
JOSH CARLSON#6495,join,The Poop(ing) Deck,1642210780.1506157,2022-01-15T01:39:40.150653
Tangent#0184,join,Gamer 3,1642211480.2555156,2022-01-15T01:51:20.255544
Tangent#0184,leave,Gamer 3,1642212318.106868,2022-01-15T02:05:18.106912
Tangent#0184,join,Gamer 3,1642212397.493372,2022-01-15T02:06:37.493429
Tangent#0184,leave,Gamer 3,1642212647.9803035,2022-01-15T02:10:47.980352
Tangent#0184,join,Codimg Zoney,1642212647.9804585,2022-01-15T02:10:47.980480
Tangent#0184,leave,Codimg Zoney,1642212652.526982,2022-01-15T02:10:52.527022
Tangent#0184,join,Gamer 3,1642212652.5271163,2022-01-15T02:10:52.527136
JOSH CARLSON#6495,leave,The Poop(ing) Deck,1642214421.5608974,2022-01-15T02:40:21.560936
JOSH CARLSON#6495,join,The Poop(ing) Deck,1642214555.563666,2022-01-15T02:42:35.563706
Peter#9962,join,General,1642215513.8949666,2022-01-15T02:58:33.895012
Annabelle B#6621,join,General,1642215530.459791,2022-01-15T02:58:50.459834
DrDooglestein#0148,join,General,1642215536.8039417,2022-01-15T02:58:56.803989
Luke L#0751,join,General,1642215538.7190728,2022-01-15T02:58:58.719113
Luke L#0751,leave,General,1642216139.8461084,2022-01-15T03:08:59.846149
Tangent#0184,leave,Gamer 3,1642217673.5838473,2022-01-15T03:34:33.583893
Tangent#0184,join,The Poop(ing) Deck,1642217673.5839958,2022-01-15T03:34:33.584017
Liam Straub#3257,leave,Gamer 3,1642218022.18887,2022-01-15T03:40:22.188916
Liam Straub#3257,join,The Poop(ing) Deck,1642218022.1890202,2022-01-15T03:40:22.189043
Liam Straub#3257,leave,The Poop(ing) Deck,1642218039.7347624,2022-01-15T03:40:39.734814
Liam Straub#3257,join,Gamer 3,1642218039.7349224,2022-01-15T03:40:39.734944
Tangent#0184,leave,The Poop(ing) Deck,1642218076.125031,2022-01-15T03:41:16.125074
Tangent#0184,join,Gamer 3,1642218076.125175,2022-01-15T03:41:16.125193
Liam Straub#3257,leave,Gamer 3,1642219909.0886006,2022-01-15T04:11:49.088656
Tangent#0184,leave,Gamer 3,1642219943.5845,2022-01-15T04:12:23.584528
Tangent#0184,join,General,1642219943.5845897,2022-01-15T04:12:23.584601
jazzy#0143,leave,Gamer 3,1642219944.315341,2022-01-15T04:12:24.315381
ClockworkGold#8535,leave,The Poop(ing) Deck,1642221240.1272824,2022-01-15T04:34:00.127329
JOSH CARLSON#6495,leave,The Poop(ing) Deck,1642221249.3542275,2022-01-15T04:34:09.354274
JOSH CARLSON#6495,join,General,1642221249.3543816,2022-01-15T04:34:09.354403
Iron Horse#7419,leave,The Poop(ing) Deck,1642221249.7290685,2022-01-15T04:34:09.729115
Iron Horse#7419,join,General,1642221249.7292206,2022-01-15T04:34:09.729242
Liam Straub#3257,join,General,1642221250.9566708,2022-01-15T04:34:10.956713
Peter#9962,leave,General,1642221752.8710575,2022-01-15T04:42:32.871087
Peter#9962,join,General,1642222088.9738657,2022-01-15T04:48:08.973912
Peter#9962,leave,General,1642222499.2812243,2022-01-15T04:54:59.281269
peterbraun#9809,join,General,1642223363.5981617,2022-01-15T05:09:23.598206
Liam Straub#3257,leave,General,1642223369.6607883,2022-01-15T05:09:29.660837
Iron Horse#7419,leave,General,1642223407.0102699,2022-01-15T05:10:07.010313
Daniel the maniel#7678,join,General,1642224516.842937,2022-01-15T05:28:36.842980
Annabelle B#6621,leave,General,1642225382.4254143,2022-01-15T05:43:02.425461
Daniel the maniel#7678,leave,General,1642225447.2016528,2022-01-15T05:44:07.201699
peterbraun#9809,leave,General,1642225682.6965163,2022-01-15T05:48:02.696563
DrDooglestein#0148,leave,General,1642226567.8790324,2022-01-15T06:02:47.879076
Tangent#0184,leave,General,1642229008.613921,2022-01-15T06:43:28.613966
JOSH CARLSON#6495,leave,General,1642233537.0326054,2022-01-15T07:58:57.032634
Peter#9962,join,General,1642263018.2389443,2022-01-15T16:10:18.238989
Iron Horse#7419,join,General,1642263023.6725051,2022-01-15T16:10:23.672541
Liam Straub#3257,join,General,1642263382.4579687,2022-01-15T16:16:22.458010
DrDooglestein#0148,join,General,1642263470.3410542,2022-01-15T16:17:50.341096
Liam Straub#3257,leave,General,1642263687.4419796,2022-01-15T16:21:27.442016
Liam Straub#3257,join,Gamer 3,1642265056.8261032,2022-01-15T16:44:16.826148
ClockworkGold#8535,join,General,1642265268.0808122,2022-01-15T16:47:48.080860
ClockworkGold#8535,leave,General,1642265733.4307704,2022-01-15T16:55:33.430816
Daniel the maniel#7678,join,General,1642266332.3411798,2022-01-15T17:05:32.341221
donwersa#8598,join,Gamer 3,1642266800.739341,2022-01-15T17:13:20.739384
Luke L#0751,join,Gamer 3,1642267325.638437,2022-01-15T17:22:05.638482
Peter#9962,leave,General,1642268717.8011594,2022-01-15T17:45:17.801207
Daniel the maniel#7678,leave,General,1642269564.2783284,2022-01-15T17:59:24.278374
Luke L#0751,leave,Gamer 3,1642269873.060493,2022-01-15T18:04:33.060539
Iron Horse#7419,leave,General,1642270150.6324794,2022-01-15T18:09:10.632527
Iron Horse#7419,join,Asleep,1642270150.6326318,2022-01-15T18:09:10.632654
DrDooglestein#0148,leave,General,1642271126.9725015,2022-01-15T18:25:26.972549
Iron Horse#7419,leave,Asleep,1642271291.6526694,2022-01-15T18:28:11.652718
0wen#3644,join,Gamer 3,1642273737.598295,2022-01-15T19:08:57.598339
0wen#3644,leave,Gamer 3,1642274010.0962763,2022-01-15T19:13:30.096324
donwersa#8598,leave,Gamer 3,1642277212.7657874,2022-01-15T20:06:52.765833
donwersa#8598,join,General,1642277213.9335234,2022-01-15T20:06:53.933570
donwersa#8598,leave,General,1642277216.24703,2022-01-15T20:06:56.247076
donwersa#8598,join,Gamer 3,1642277216.2471786,2022-01-15T20:06:56.247201
donwersa#8598,leave,Gamer 3,1642278603.830057,2022-01-15T20:30:03.830101
Liam Straub#3257,leave,Gamer 3,1642280494.3142397,2022-01-15T21:01:34.314287
donwersa#8598,join,Gamer 3,1642282948.356686,2022-01-15T21:42:28.356731
donwersa#8598,leave,Gamer 3,1642285656.4043279,2022-01-15T22:27:36.404374
donwersa#8598,join,Gamer 3,1642285695.4424324,2022-01-15T22:28:15.442477
Liam Straub#3257,join,General,1642285963.2089367,2022-01-15T22:32:43.208982
Liam Straub#3257,leave,General,1642285965.627603,2022-01-15T22:32:45.627642
Liam Straub#3257,join,Gamer 3,1642285965.6277337,2022-01-15T22:32:45.627753
Liam Straub#3257,leave,Gamer 3,1642286255.1003408,2022-01-15T22:37:35.100386
Liam Straub#3257,join,Gamer 3,1642286278.935116,2022-01-15T22:37:58.935153
